Row,Image Index Row,Column,Image Index Column
0,176,12A,1
1,178,12B,3
2,166,12C,5
3,174,13A,7
4,162,13B,9
5,164,13C,11
6,152,14A,0
7,154,14B,2
8,142,14C,4
9,150,15A,12
10,138,15B,14
11,140,15C,16
12,169,16A,6
13,171,16B,8
14,159,16C,10
15,167,17A,18
16,155,17B,20
17,157,17C,22
18,145,18A,1
19,147,18B,3
20,135,18C,5
21,143,19A,13
22,131,19B,15
23,133,19C,17
24,165,20A,25
25,163,20B,27
26,161,20C,29
27,153,21A,7
28,151,21B,9
29,149,21C,11
30,141,22A,19
31,139,22B,21
32,137,22C,23
33,129,23A,31
34,127,23B,33
35,125,23C,35
36,160,24A,0
37,158,24B,2
38,156,24C,4
39,148,25A,12
40,146,25B,14
41,144,25C,16
42,136,26A,24
43,134,26B,26
44,132,26C,28
45,124,27A,36
46,122,27B,38
47,120,27C,40
48,152,28A,6
49,154,28B,8
50,142,28C,10
51,150,29A,18
52,138,29B,20
53,140,29C,22
54,128,30A,30
55,130,30B,32
56,118,30C,34
57,126,31A,42
58,114,31B,44
59,116,31C,46
60,145,32A,13
61,147,32B,15
62,135,32C,17
63,143,33A,25
64,131,33B,27
65,133,33C,29
66,121,34A,37
67,123,34B,39
68,111,34C,41
69,119,35A,49
70,107,35B,51
71,109,35C,53
72,141,36A,19
73,139,36B,21
74,137,36C,23
75,129,37A,31
76,127,37B,33
77,125,37C,35
78,117,38A,43
79,115,38B,45
80,113,38C,47
81,105,39A,55
82,103,39B,57
83,101,39C,59
84,136,40A,24
85,134,40B,26
86,132,40C,28
87,124,41A,36
88,122,41B,38
89,120,41C,40
90,112,42A,48
91,110,42B,50
92,108,42C,52
93,100,43A,60
94,98,43B,62
95,96,43C,64
96,128,44A,30
97,130,44B,32
98,118,44C,34
99,126,45A,42
100,114,45B,44
101,116,45C,46
102,104,46A,54
103,106,46B,56
104,94,46C,58
105,102,47A,66
106,90,47B,68
107,92,47C,70
108,121,48A,37
109,123,48B,39
110,111,48C,41
111,119,49A,49
112,107,49B,51
113,109,49C,53
114,97,50A,61
115,99,50B,63
116,87,50C,65
117,95,51A,73
118,83,51B,75
119,85,51C,77
120,117,52A,43
121,115,52B,45
122,113,52C,47
123,105,53A,55
124,103,53B,57
125,101,53C,59
126,93,54A,67
127,91,54B,69
128,89,54C,71
129,81,55A,79
130,79,55B,81
131,77,55C,83
132,112,56A,48
133,110,56B,50
134,108,56C,52
135,100,57A,60
136,98,57B,62
137,96,57C,64
138,88,58A,72
139,86,58B,74
140,84,58C,76
141,76,59A,84
142,74,59B,86
143,72,59C,88
,,60A,54
,,60B,56
,,60C,58
,,61A,66
,,61B,68
,,61C,70
,,62A,78
,,62B,80
,,62C,82
,,63A,90
,,63B,92
,,63C,94
,,64A,61
,,64B,63
,,64C,65
,,65A,73
,,65B,75
,,65C,77
,,66A,85
,,66B,87
,,66C,89
,,67A,97
,,67B,99
,,67C,101
,,68A,67
,,68B,69
,,68C,71
,,69A,79
,,69B,81
,,69C,83
,,70A,91
,,70B,93
,,70C,95
,,71A,103
,,71B,105
,,71C,107
,,72A,72
,,72B,74
,,72C,76
,,73A,84
,,73B,86
,,73C,88
,,74A,96
,,74B,98
,,74C,100
,,75A,108
,,75B,110
,,75C,112
,,76A,78
,,76B,80
,,76C,82
,,77A,90
,,77B,92
,,77C,94
,,78A,102
,,78B,104
,,78C,106
,,79A,114
,,79B,116
,,79C,118
,,80A,85
,,80B,87
,,80C,89
,,81A,97
,,81B,99
,,81C,101
,,82A,109
,,82B,111
,,82C,113
,,83A,121
,,83B,123
,,83C,125
,,84A,91
,,84B,93
,,84C,95
,,85A,103
,,85B,105
,,85C,107
,,86A,115
,,86B,117
,,86C,119
,,87A,127
,,87B,129
,,87C,131
,,88A,96
,,88B,98
,,88C,100
,,89A,108
,,89B,110
,,89C,112
,,90A,120
,,90B,122
,,90C,124
,,91A,132
,,91B,134
,,91C,136
,,92A,102
,,92B,104
,,92C,106
,,93A,114
,,93B,116
,,93C,118
,,94A,126
,,94B,128
,,94C,130
,,95A,138
,,95B,140
,,95C,142
,,96A,109
,,96B,111
,,96C,113
,,97A,121
,,97B,123
,,97C,125
,,98A,133
,,98B,135
,,98C,137
,,99A,145
,,99B,147
,,99C,149
,,100A,115
,,100B,117
,,100C,119
,,101A,127
,,101B,129
,,101C,131
,,102A,139
,,102B,141
,,102C,143
,,103A,151
,,103B,153
,,103C,155
,,104A,120
,,104B,122
,,104C,124
,,105A,132
,,105B,134
,,105C,136
,,106A,144
,,106B,146
,,106C,148
,,107A,156
,,107B,158
,,107C,160
,,108A,126
,,108B,128
,,108C,130
,,109A,138
,,109B,140
,,109C,142
,,110A,150
,,110B,152
,,110C,154
,,111A,162
,,111B,164
,,111C,166
,,112A,133
,,112B,135
,,112C,137
,,113A,145
,,113B,147
,,113C,149
,,114A,157
,,114B,159
,,114C,161
,,115A,169
,,115B,171
,,115C,173
,,116A,139
,,116B,141
,,116C,143
,,117A,151
,,117B,153
,,117C,155
,,118A,163
,,118B,165
,,118C,167
,,119A,175
,,119B,177
,,119C,179
,,120A,144
,,120B,146
,,120C,148
,,121A,156
,,121B,158
,,121C,160
,,122A,168
,,122B,170
,,122C,172
,,123A,180
,,123B,182
,,123C,184
