Row,Image Index Row,Column,Image Index Column
0,0,16A,238
1,2,16B,236
2,4,16C,234
3,12,17A,226
4,14,17B,224
5,16,17C,222
6,24,18A,214
7,26,18B,212
8,28,18C,210
9,36,19A,202
10,38,19B,200
11,40,19C,198
12,5,20A,232
13,7,20B,230
14,9,20C,228
15,17,21A,220
16,19,21B,218
17,21,21C,216
18,29,22A,208
19,31,22B,206
20,33,22C,204
21,41,23A,196
22,43,23B,194
23,45,23C,192
24,13,24A,227
25,11,24B,225
26,23,24C,223
27,15,25A,215
28,27,25B,213
29,25,25C,211
30,37,26A,203
31,35,26B,201
32,47,26C,199
33,39,27A,191
34,51,27B,189
35,49,27C,187
36,20,28A,221
37,18,28B,219
38,30,28C,217
39,22,29A,209
40,34,29B,207
41,32,29C,205
42,44,30A,197
43,42,30B,195
44,54,30C,193
45,46,31A,185
46,58,31B,183
47,56,31C,181
48,24,32A,214
49,26,32B,212
50,28,32C,210
51,36,33A,202
52,38,33B,200
53,40,33C,198
54,48,34A,190
55,50,34B,188
56,52,34C,186
57,60,35A,178
58,62,35B,176
59,64,35C,174
60,29,36A,208
61,31,36B,206
62,33,36C,204
63,41,37A,196
64,43,37B,194
65,45,37C,192
66,53,38A,184
67,55,38B,182
68,57,38C,180
69,65,39A,172
70,67,39B,170
71,69,39C,168
72,37,40A,203
73,35,40B,201
74,47,40C,199
75,39,41A,191
76,51,41B,189
77,49,41C,187
78,61,42A,179
79,59,42B,177
80,71,42C,175
81,63,43A,167
82,75,43B,165
83,73,43C,163
84,44,44A,197
85,42,44B,195
86,54,44C,193
87,46,45A,185
88,58,45B,183
89,56,45C,181
90,68,46A,173
91,66,46B,171
92,78,46C,169
93,70,47A,161
94,82,47B,159
95,80,47C,157
96,48,48A,190
97,50,48B,188
98,52,48C,186
99,60,49A,178
100,62,49B,176
101,64,49C,174
102,72,50A,166
103,74,50B,164
104,76,50C,162
105,84,51A,154
106,86,51B,152
107,88,51C,150
108,53,52A,184
109,55,52B,182
110,57,52C,180
111,65,53A,172
112,67,53B,170
113,69,53C,168
114,77,54A,160
115,79,54B,158
116,81,54C,156
117,89,55A,148
118,91,55B,146
119,93,55C,144
120,61,56A,179
121,59,56B,177
122,71,56C,175
123,63,57A,167
124,75,57B,165
125,73,57C,163
126,85,58A,155
127,83,58B,153
128,95,58C,151
129,87,59A,143
130,99,59B,141
131,97,59C,139
132,68,60A,173
133,66,60B,171
134,78,60C,169
135,70,61A,161
136,82,61B,159
137,80,61C,157
138,92,62A,149
139,90,62B,147
140,102,62C,145
141,94,63A,137
142,106,63B,135
143,104,63C,133
,,64A,166
,,64B,164
,,64C,162
,,65A,154
,,65B,152
,,65C,150
,,66A,142
,,66B,140
,,66C,138
,,67A,130
,,67B,128
,,67C,126
,,68A,160
,,68B,158
,,68C,156
,,69A,148
,,69B,146
,,69C,144
,,70A,136
,,70B,134
,,70C,132
,,71A,124
,,71B,122
,,71C,120
,,72A,155
,,72B,153
,,72C,151
,,73A,143
,,73B,141
,,73C,139
,,74A,131
,,74B,129
,,74C,127
,,75A,119
,,75B,117
,,75C,115
,,76A,149
,,76B,147
,,76C,145
,,77A,137
,,77B,135
,,77C,133
,,78A,125
,,78B,123
,,78C,121
,,79A,113
,,79B,111
,,79C,109
,,80A,142
,,80B,140
,,80C,138
,,81A,130
,,81B,128
,,81C,126
,,82A,118
,,82B,116
,,82C,114
,,83A,106
,,83B,104
,,83C,102
,,84A,136
,,84B,134
,,84C,132
,,85A,124
,,85B,122
,,85C,120
,,86A,112
,,86B,110
,,86C,108
,,87A,100
,,87B,98
,,87C,96
,,88A,131
,,88B,129
,,88C,127
,,89A,119
,,89B,117
,,89C,115
,,90A,107
,,90B,105
,,90C,103
,,91A,95
,,91B,93
,,91C,91
,,92A,125
,,92B,123
,,92C,121
,,93A,113
,,93B,111
,,93C,109
,,94A,101
,,94B,99
,,94C,97
,,95A,89
,,95B,87
,,95C,85
,,96A,118
,,96B,116
,,96C,114
,,97A,106
,,97B,104
,,97C,102
,,98A,94
,,98B,92
,,98C,90
,,99A,82
,,99B,80
,,99C,78
,,100A,112
,,100B,110
,,100C,108
,,101A,100
,,101B,98
,,101C,96
,,102A,88
,,102B,86
,,102C,84
,,103A,76
,,103B,74
,,103C,72
,,104A,107
,,104B,105
,,104C,103
,,105A,95
,,105B,93
,,105C,91
,,106A,83
,,106B,81
,,106C,79
,,107A,71
,,107B,69
,,107C,67
,,108A,101
,,108B,99
,,108C,97
,,109A,89
,,109B,87
,,109C,85
,,110A,77
,,110B,75
,,110C,73
,,111A,65
,,111B,63
,,111C,61
,,112A,94
,,112B,92
,,112C,90
,,113A,82
,,113B,80
,,113C,78
,,114A,70
,,114B,68
,,114C,66
,,115A,58
,,115B,56
,,115C,54
,,116A,88
,,116B,86
,,116C,84
,,117A,76
,,117B,74
,,117C,72
,,118A,64
,,118B,62
,,118C,60
,,119A,52
,,119B,50
,,119C,48
,,120A,83
,,120B,81
,,120C,79
,,121A,71
,,121B,69
,,121C,67
,,122A,59
,,122B,57
,,122C,55
,,123A,47
,,123B,45
,,123C,43
,,124A,77
,,124B,75
,,124C,73
,,125A,65
,,125B,63
,,125C,61
,,126A,53
,,126B,51
,,126C,49
,,127A,41
,,127B,39
,,127C,37
,,128A,70
,,128B,68
,,128C,66
,,129A,58
,,129B,56
,,129C,54
,,130A,46
,,130B,44
,,130C,42
,,131A,34
,,131B,32
,,131C,30
,,132A,64
,,132B,62
,,132C,60
,,133A,52
,,133B,50
,,133C,48
,,134A,40
,,134B,38
,,134C,36
,,135A,28
,,135B,26
,,135C,24
,,136A,59
,,136B,57
,,136C,55
,,137A,47
,,137B,45
,,137C,43
,,138A,35
,,138B,33
,,138C,31
,,139A,23
,,139B,21
,,139C,19
,,140A,53
,,140B,51
,,140C,49
,,141A,41
,,141B,39
,,141C,37
,,142A,29
,,142B,27
,,142C,25
,,143A,17
,,143B,15
,,143C,13
,,144A,46
,,144B,44
,,144C,42
,,145A,34
,,145B,32
,,145C,30
,,146A,22
,,146B,20
,,146C,18
,,147A,10
,,147B,8
,,147C,6
,,148A,40
,,148B,38
,,148C,36
,,149A,28
,,149B,26
,,149C,24
,,150A,16
,,150B,14
,,150C,12
,,151A,4
,,151B,2
,,151C,0
,,152A,35
,,152B,33
,,152C,31
,,153A,23
,,153B,21
,,153C,19
,,154A,11
,,154B,9
,,154C,7
,,155A,29
,,155B,27
,,155C,25
,,156A,17
,,156B,15
,,156C,13
,,157A,5
,,157B,3
,,157C,1
,,158A,22
,,158B,20
,,158C,18
,,159A,10
,,159B,8
,,159C,6
,,160A,16
,,160B,14
,,160C,12
,,161A,4
,,161B,2
,,161C,0
,,162A,11
,,162B,9
,,162C,7
,,163A,5
,,163B,3
,,163C,1
